Configuration,Classifier,Repetition,OOFPredictions,TP,FP,TN,FN,Precision,Recall,AUC,Kappa,NPofB20,TotalLOC,BudgetLOC,InspectedLOC,InspectedRows,BuggyFound,TotalBuggy
C2,IBk,7,12836,1321,542,10284,689,0.709071390231,0.657213930348,0.903831663776,0.625783832768,0.628855721393,1750165.000000000000,350033.000000000000,350048.000000000000,2100,1264,2010
C3,RandomForest,7,12836,1603,429,10397,407,0.788877952756,0.797512437811,0.964145396241,0.754523033013,0.694029850746,1750165.000000000000,350033.000000000000,350039.000000000000,3525,1395,2010
C3,NaiveBayes,7,12836,803,767,10059,1207,0.511464968153,0.399502487562,0.806194801900,0.360814379282,0.213432835821,1750165.000000000000,350033.000000000000,350037.000000000000,1046,429,2010
C3,IBk,7,12836,1463,909,9917,547,0.616779089376,0.727860696517,0.830654826735,0.599904709531,0.572139303483,1750165.000000000000,350033.000000000000,350533.000000000000,2004,1150,2010
C4,RandomForest,7,12836,1535,658,10168,475,0.699954400365,0.763681592040,0.942888779822,0.677776466124,0.678109452736,1750165.000000000000,350033.000000000000,350290.000000000000,3097,1363,2010
C4,NaiveBayes,7,12836,764,690,10136,1246,0.525447042641,0.380099502488,0.792666884495,0.356518572394,0.263184079602,1750165.000000000000,350033.000000000000,350054.000000000000,1227,529,2010
C4,IBk,7,12836,1495,740,10086,515,0.668903803132,0.743781094527,0.908939001648,0.645984143853,0.640298507463,1750165.000000000000,350033.000000000000,350599.000000000000,2232,1287,2010
C1,RandomForest,8,12836,1447,268,10558,563,0.843731778426,0.719900497512,0.961349749497,0.739326291917,0.692537313433,1750165.000000000000,350033.000000000000,350417.000000000000,3171,1392,2010
C1,NaiveBayes,8,12836,752,690,10136,1258,0.521497919556,0.374129353234,0.805459953144,0.350751506659,0.198009950249,1750165.000000000000,350033.000000000000,350251.000000000000,934,398,2010
C1,IBk,8,12836,1293,656,10170,717,0.663417136993,0.643283582090,0.804496821270,0.589978992500,0.525870646766,1750165.000000000000,350033.000000000000,350600.000000000000,1684,1057,2010
